enrolment_id,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,last_new_job,training_hours,target
28806,Male,Has relevent experience,no_enrollment,High School,,5,1,24,0
25619,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,3,23,0
11399,Female,Has relevent experience,no_enrollment,Degree,Arts,4,1,132,1
13643,,No relevent experience,no_enrollment,Degree,No Major,9,0,108,0
4476,Male,Has relevent experience,no_enrollment,Degree,No Major,15,>4,20,1
31449,Female,Has relevent experience,no_enrollment,Masters,STEM,2,1,4,0
22070,Male,No relevent experience,no_enrollment,Degree,STEM,>20,1,136,0
28751,,No relevent experience,Full time course,High School,,4,3,75,0
25349,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,28,0
10555,Male,Has relevent experience,no_enrollment,Degree,STEM,12,2,8,0
24608,Male,No relevent experience,no_enrollment,Degree,STEM,9,2,15,0
30098,Male,Has relevent experience,no_enrollment,Masters,Other,>20,>4,8,0
9475,Male,Has relevent experience,no_enrollment,Degree,STEM,9,>4,11,0
13083,Male,Has relevent experience,no_enrollment,Masters,STEM,10,>4,29,0
7342,Male,Has relevent experience,no_enrollment,Degree,STEM,11,3,102,0
13152,Male,Has relevent experience,no_enrollment,Degree,STEM,13,1,96,0
25290,,Has relevent experience,no_enrollment,High School,,<1,1,29,0
27277,,No relevent experience,no_enrollment,Degree,STEM,2,1,20,0
25182,,No relevent experience,no_enrollment,High School,,2,0,58,0
9384,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,143,0
1568,Male,Has relevent experience,no_enrollment,Degree,STEM,15,4,50,0
29440,Male,Has relevent experience,no_enrollment,Degree,STEM,4,2,60,1
21078,Female,Has relevent experience,no_enrollment,Degree,STEM,9,1,17,0
6008,Male,Has relevent experience,no_enrollment,High School,,>20,>4,38,0
28229,Male,Has relevent experience,Part time course,Degree,STEM,18,>4,51,0
8540,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,52,0
5340,Male,Has relevent experience,no_enrollment,Degree,Business Degree,>20,0,109,0
9387,Male,Has relevent experience,,High School,,6,2,20,0
30636,Male,No relevent experience,Full time course,Degree,STEM,1,1,72,1
22508,Female,No relevent experience,Part time course,Degree,STEM,5,1,16,0
1563,Male,Has relevent experience,no_enrollment,Degree,STEM,12,3,25,0
22742,,Has relevent experience,no_enrollment,Degree,STEM,9,1,56,0
24981,,Has relevent experience,no_enrollment,Degree,STEM,9,,62,0
6909,Female,No relevent experience,no_enrollment,Masters,STEM,7,1,98,1
29508,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,1,24,0
6379,,Has relevent experience,no_enrollment,Masters,STEM,>20,2,18,0
3248,Male,No relevent experience,no_enrollment,High School,,4,0,94,0
26025,Male,No relevent experience,Full time course,Degree,STEM,3,0,73,1
7193,Male,No relevent experience,Full time course,High School,,5,1,55,0
29737,Male,Has relevent experience,no_enrollment,Degree,STEM,7,>4,15,0
21442,Male,Has relevent experience,no_enrollment,Degree,STEM,11,1,206,1
18,Male,No relevent experience,no_enrollment,Degree,STEM,>20,>4,24,0
10930,Male,Has relevent experience,no_enrollment,,,>20,>4,17,0
6407,,Has relevent experience,Full time course,High School,,7,2,82,0
20116,,Has relevent experience,no_enrollment,Degree,STEM,11,,11,1
10285,,Has relevent experience,no_enrollment,Degree,STEM,15,4,42,0
12217,Male,Has relevent experience,Part time course,Degree,STEM,10,4,206,0
13720,Male,Has relevent experience,no_enrollment,High School,,16,>4,73,0
10602,,Has relevent experience,Full time course,Masters,STEM,5,,92,0
27678,Male,Has relevent experience,Part time course,Degree,STEM,3,2,11,0
23741,Male,Has relevent experience,no_enrollment,Degree,STEM,2,2,89,1
33255,Male,Has relevent experience,no_enrollment,Degree,STEM,2,1,10,1
33049,Male,Has relevent experience,no_enrollment,Degree,STEM,9,1,20,0
22238,Female,Has relevent experience,no_enrollment,Degree,STEM,16,>4,27,0
2015,Male,Has relevent experience,no_enrollment,Degree,STEM,17,1,48,1
16787,Male,Has relevent experience,no_enrollment,Masters,STEM,12,>4,154,0
5306,,Has relevent experience,,,,10,3,14,0
23328,Male,No relevent experience,Full time course,Degree,STEM,3,1,45,1
21443,Male,Has relevent experience,no_enrollment,Degree,STEM,4,2,94,1
26974,Male,Has relevent experience,Full time course,High School,,6,3,167,0
8388,Male,No relevent experience,Full time course,High School,,<1,0,37,0
32631,Male,Has relevent experience,no_enrollment,Phd,STEM,>20,>4,5,1
1708,Male,Has relevent experience,Full time course,High School,,5,2,36,1
19605,,No relevent experience,,Degree,STEM,1,1,110,1
26270,Female,Has relevent experience,no_enrollment,Degree,Humanities,4,3,127,1
33068,Male,Has relevent experience,no_enrollment,Degree,STEM,2,1,9,0
273,Male,No relevent experience,Full time course,High School,,5,0,18,0
15125,Male,Has relevent experience,no_enrollment,Degree,STEM,19,>4,3,1
1471,Male,Has relevent experience,Part time course,Degree,Humanities,11,>4,166,0
12402,Male,No relevent experience,Full time course,Degree,STEM,2,1,50,0
27373,,Has relevent experience,no_enrollment,Degree,STEM,8,1,88,0
26132,Male,Has relevent experience,no_enrollment,Degree,STEM,11,>4,21,0
11045,,Has relevent experience,no_enrollment,Degree,STEM,3,1,284,1
31713,Male,No relevent experience,no_enrollment,Degree,STEM,3,1,2,1
31967,Male,Has relevent experience,no_enrollment,Degree,STEM,7,0,102,0
26351,Male,Has relevent experience,no_enrollment,Degree,STEM,14,>4,28,1
6157,Male,Has relevent experience,no_enrollment,Phd,STEM,12,1,51,0
20728,Male,Has relevent experience,no_enrollment,Masters,STEM,8,2,80,0
25613,Male,Has relevent experience,no_enrollment,Degree,STEM,9,2,104,0
2688,Male,Has relevent experience,Full time course,Degree,STEM,4,0,7,1
17887,Male,Has relevent experience,,,,3,,28,1
18968,,Has relevent experience,no_enrollment,Degree,Arts,12,3,28,0
9305,Male,Has relevent experience,no_enrollment,Degree,STEM,11,1,91,0
4730,Male,Has relevent experience,no_enrollment,Degree,STEM,19,>4,24,0
7713,Male,Has relevent experience,no_enrollment,Degree,STEM,18,>4,126,0
6849,Male,No relevent experience,no_enrollment,Degree,STEM,>20,0,31,0
3746,Male,Has relevent experience,Full time course,Degree,STEM,2,0,55,0
32615,Male,No relevent experience,no_enrollment,Primary School,,<1,2,85,0
29968,Female,No relevent experience,Full time course,Degree,STEM,3,1,75,1
14043,,Has relevent experience,no_enrollment,Degree,STEM,15,>4,97,1
30715,Male,Has relevent experience,no_enrollment,Degree,STEM,10,1,4,0
28977,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,4,33,0
898,Male,Has relevent experience,no_enrollment,High School,,15,2,32,1
25317,Male,Has relevent experience,no_enrollment,Degree,STEM,6,3,198,1
2283,Male,Has relevent experience,no_enrollment,Degree,STEM,19,2,16,0
32391,Male,No relevent experience,Part time course,High School,,3,0,65,0
19716,Male,Has relevent experience,no_enrollment,Degree,STEM,11,1,6,0
12671,Male,No relevent experience,Full time course,Degree,STEM,1,1,42,1
17073,Male,Has relevent experience,no_enrollment,Degree,STEM,10,0,24,1
32846,Male,No relevent experience,Full time course,Degree,STEM,2,2,8,1
16388,,Has relevent experience,Full time course,High School,,6,1,99,0
21701,,Has relevent experience,Full time course,Degree,STEM,5,0,40,0
30499,Male,Has relevent experience,no_enrollment,Degree,STEM,12,1,190,0
2713,,Has relevent experience,no_enrollment,Degree,STEM,10,1,9,0
27480,Male,Has relevent experience,Full time course,Degree,STEM,6,1,45,0
15756,,No relevent experience,Full time course,High School,,2,1,74,0
29971,Male,No relevent experience,no_enrollment,Degree,STEM,4,1,14,1
18076,Male,Has relevent experience,no_enrollment,Degree,STEM,5,3,73,0
9300,,Has relevent experience,no_enrollment,Degree,STEM,13,>4,29,0
19948,Male,Has relevent experience,no_enrollment,Degree,Other,5,1,28,0
29673,Male,No relevent experience,Part time course,Masters,STEM,3,0,22,0
3536,Male,Has relevent experience,Full time course,Degree,STEM,14,2,40,0
32018,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,50,1
27567,Male,Has relevent experience,no_enrollment,High School,,>20,3,67,0
26797,Male,No relevent experience,Full time course,Degree,STEM,2,0,42,1
26906,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,59,0
5901,,Has relevent experience,no_enrollment,Degree,STEM,6,2,33,0
4156,Female,Has relevent experience,no_enrollment,Degree,STEM,3,0,28,0
27461,Male,Has relevent experience,no_enrollment,Masters,STEM,18,>4,59,0
16929,,Has relevent experience,no_enrollment,Masters,Other,15,4,43,0
33244,Male,Has relevent experience,Part time course,Degree,STEM,8,4,85,0
11906,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,27,0
19129,,No relevent experience,no_enrollment,Masters,Business Degree,19,2,15,0
10679,Male,Has relevent experience,Full time course,Degree,STEM,2,1,17,0
23721,Male,No relevent experience,,High School,,1,0,61,1
6074,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,4,61,0
3989,Male,Has relevent experience,no_enrollment,Degree,STEM,7,1,86,0
110,,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,6,0
10672,Female,No relevent experience,no_enrollment,Degree,STEM,<1,3,48,0
2009,Male,Has relevent experience,no_enrollment,Masters,Humanities,15,4,12,0
33113,Male,Has relevent experience,no_enrollment,Degree,No Major,19,1,130,0
21890,Male,Has relevent experience,no_enrollment,Degree,STEM,4,1,68,1
9916,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,55,0
30874,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,1,91,0
29309,Male,Has relevent experience,no_enrollment,Masters,STEM,2,1,6,0
27015,Male,Has relevent experience,no_enrollment,Degree,STEM,16,1,107,0
16720,Male,No relevent experience,Full time course,High School,,10,0,68,0
26708,Male,Has relevent experience,Part time course,Degree,STEM,8,1,36,1
624,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,2,26,0
13189,Female,Has relevent experience,no_enrollment,Phd,STEM,>20,>4,170,0
8395,Male,Has relevent experience,no_enrollment,Degree,STEM,7,1,81,0
9405,Male,Has relevent experience,Full time course,Masters,STEM,<1,1,12,0
29842,Male,No relevent experience,no_enrollment,Degree,STEM,5,2,86,1
8975,Other,No relevent experience,Full time course,Degree,Other,5,1,2,0
1495,Male,No relevent experience,Full time course,Masters,Other,15,0,188,0
1999,Male,No relevent experience,Full time course,High School,,2,1,28,0
17238,Male,Has relevent experience,no_enrollment,Degree,STEM,7,1,24,0
6675,Male,Has relevent experience,no_enrollment,Phd,STEM,11,2,58,0
23546,Male,No relevent experience,Full time course,Degree,STEM,5,0,14,0
27620,Male,Has relevent experience,no_enrollment,Degree,STEM,9,1,69,0
7251,Male,No relevent experience,no_enrollment,Masters,STEM,6,>4,246,0
31559,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,44,0
3288,Male,Has relevent experience,no_enrollment,Degree,STEM,5,2,222,0
20848,Female,Has relevent experience,no_enrollment,Degree,STEM,12,1,94,0
18834,Female,Has relevent experience,Part time course,Degree,STEM,5,3,49,0
12611,Male,Has relevent experience,no_enrollment,High School,,5,1,24,1
27673,Male,Has relevent experience,no_enrollment,Degree,STEM,20,1,19,0
16068,,Has relevent experience,,Masters,STEM,19,0,28,0
15270,Male,No relevent experience,no_enrollment,Primary School,,4,0,41,0
28678,Male,Has relevent experience,no_enrollment,Degree,STEM,4,2,292,0
18732,Male,No relevent experience,Full time course,Masters,STEM,7,1,54,0
6245,Male,No relevent experience,Part time course,Degree,STEM,1,0,29,1
14548,,Has relevent experience,no_enrollment,Degree,STEM,3,2,36,1
28454,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,33,0
24866,,No relevent experience,Full time course,,,4,0,41,1
13926,Male,Has relevent experience,Full time course,Degree,STEM,7,4,33,0
14455,Male,Has relevent experience,Full time course,Degree,STEM,3,1,24,0
19497,Male,Has relevent experience,no_enrollment,High School,,5,0,210,0
9325,,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,32,0
4385,,No relevent experience,Part time course,Degree,STEM,4,,46,1
24188,Male,Has relevent experience,no_enrollment,Degree,STEM,5,1,86,0
7175,Male,Has relevent experience,no_enrollment,Degree,STEM,5,1,5,0
1997,Male,Has relevent experience,no_enrollment,Masters,STEM,8,1,5,1
9723,Male,Has relevent experience,no_enrollment,,,6,2,23,0
21008,Male,Has relevent experience,no_enrollment,Degree,STEM,9,2,66,0
12344,Male,Has relevent experience,no_enrollment,Degree,STEM,5,2,26,0
26136,Male,Has relevent experience,Part time course,Degree,Business Degree,2,2,42,0
31443,Female,Has relevent experience,no_enrollment,Masters,STEM,15,>4,75,0
21624,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,2,28,0
13654,Male,Has relevent experience,no_enrollment,Degree,STEM,5,2,42,0
30610,Male,Has relevent experience,Part time course,Degree,STEM,5,2,238,0
27364,Male,Has relevent experience,no_enrollment,Degree,STEM,4,1,21,0
13439,Male,Has relevent experience,,Degree,STEM,>20,>4,4,0
11738,Male,Has relevent experience,Full time course,High School,,10,1,78,0
28301,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,161,0
11301,Female,No relevent experience,Full time course,Masters,STEM,10,3,98,0
32035,Male,Has relevent experience,Full time course,Degree,STEM,3,2,38,0
23051,Male,Has relevent experience,Full time course,High School,,4,1,158,0
3290,Female,No relevent experience,,High School,,<1,>4,67,0
7241,,Has relevent experience,Part time course,Degree,STEM,15,2,18,0
17280,Male,Has relevent experience,no_enrollment,Degree,STEM,13,1,18,1
22651,Male,Has relevent experience,Full time course,Masters,STEM,13,2,166,0
14087,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1,204,0
14134,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,157,0
10784,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,2,7,0
15362,Male,No relevent experience,Full time course,High School,,3,1,56,0
9386,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,99,0
11203,Male,No relevent experience,Full time course,High School,,1,1,298,0
27112,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,2,24,1
29167,Male,Has relevent experience,no_enrollment,Masters,Other,>20,2,96,0
1772,Male,Has relevent experience,no_enrollment,Degree,STEM,6,4,17,1
4711,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1,192,0
23444,,No relevent experience,Full time course,Masters,STEM,8,3,38,1
1068,Male,Has relevent experience,no_enrollment,Degree,STEM,7,1,4,0
24278,Male,Has relevent experience,no_enrollment,Degree,STEM,3,0,66,0
9188,Female,No relevent experience,no_enrollment,Degree,STEM,6,0,70,0
22935,,No relevent experience,,Degree,,3,,92,0
29034,Male,Has relevent experience,no_enrollment,Degree,STEM,6,2,163,0
13178,Male,Has relevent experience,no_enrollment,Masters,STEM,8,3,29,1
4212,Male,Has relevent experience,no_enrollment,Degree,STEM,8,>4,94,0
21030,Male,No relevent experience,Full time course,Masters,Humanities,4,4,44,1
2540,Male,Has relevent experience,no_enrollment,Degree,STEM,11,2,23,0
8945,,Has relevent experience,no_enrollment,Degree,STEM,6,2,282,1
21074,Male,Has relevent experience,,Degree,STEM,9,1,50,0
24219,Female,Has relevent experience,no_enrollment,Degree,STEM,>20,1,8,0
16279,,Has relevent experience,no_enrollment,Degree,STEM,2,1,71,0
28717,,Has relevent experience,no_enrollment,Degree,STEM,11,2,12,0
16696,Female,Has relevent experience,no_enrollment,Degree,STEM,>20,2,9,0
2450,,Has relevent experience,Full time course,,,3,3,107,1
32467,Male,Has relevent experience,no_enrollment,Degree,Arts,4,4,45,0
2603,Male,Has relevent experience,no_enrollment,High School,,3,1,28,0
16341,Male,No relevent experience,Full time course,Degree,STEM,4,1,158,0
11005,Male,Has relevent experience,,Degree,STEM,10,0,40,0
12146,Male,Has relevent experience,no_enrollment,Masters,STEM,6,1,28,0
14704,Male,Has relevent experience,no_enrollment,Degree,STEM,5,1,42,0
10090,Male,No relevent experience,Full time course,High School,,4,1,82,0
25915,Male,Has relevent experience,no_enrollment,Degree,STEM,14,1,40,0
29607,,Has relevent experience,no_enrollment,Degree,Arts,10,1,43,0
28644,Male,No relevent experience,Full time course,Masters,Business Degree,18,2,83,0
20158,Male,Has relevent experience,Full time course,Degree,STEM,7,1,63,0
24435,,Has relevent experience,Part time course,Degree,STEM,10,1,39,0
9693,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,1,17,0
1461,Male,Has relevent experience,Full time course,High School,,18,1,43,0
6656,,Has relevent experience,no_enrollment,Masters,Arts,6,1,21,1
2878,Male,Has relevent experience,no_enrollment,Masters,STEM,10,0,53,1
8636,Male,Has relevent experience,no_enrollment,Degree,STEM,15,3,162,0
32763,Female,No relevent experience,Full time course,High School,,2,1,32,0
11571,,No relevent experience,,High School,,5,,55,0
9724,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,1,54,0
8222,Male,Has relevent experience,Full time course,Degree,STEM,5,1,31,0
11840,Male,Has relevent experience,Full time course,Degree,STEM,3,1,9,0
32255,,Has relevent experience,,Degree,Business Degree,2,1,28,0
27645,,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,76,1
19481,Male,No relevent experience,no_enrollment,Masters,STEM,11,1,8,0
13290,Male,Has relevent experience,,Degree,STEM,6,1,122,1
19113,,No relevent experience,no_enrollment,Primary School,,5,0,19,0
6543,Male,Has relevent experience,no_enrollment,Degree,No Major,>20,>4,28,0
22782,Male,No relevent experience,Full time course,Masters,STEM,7,1,35,0
28553,Male,No relevent experience,no_enrollment,Masters,Humanities,15,2,8,0
19409,,Has relevent experience,,Degree,STEM,14,>4,154,1
1901,Male,Has relevent experience,no_enrollment,Degree,STEM,4,1,40,1
7870,,Has relevent experience,no_enrollment,Degree,STEM,11,2,19,0
29348,Male,Has relevent experience,no_enrollment,Degree,STEM,20,2,56,0
21001,Male,Has relevent experience,no_enrollment,Degree,STEM,7,1,4,0
10216,Male,Has relevent experience,no_enrollment,Degree,STEM,8,>4,50,0
10140,Male,No relevent experience,Full time course,High School,,<1,1,80,0
26998,Male,No relevent experience,Full time course,High School,,2,2,11,0
7043,Male,No relevent experience,Full time course,Degree,STEM,4,1,44,0
8134,,Has relevent experience,no_enrollment,Degree,STEM,4,1,140,0
1896,Male,Has relevent experience,no_enrollment,Masters,STEM,10,4,69,0
24449,Male,No relevent experience,no_enrollment,Degree,No Major,4,1,74,1
15778,Male,Has relevent experience,no_enrollment,Degree,STEM,15,1,15,0
13442,,Has relevent experience,Full time course,Degree,STEM,5,1,166,0
14714,Male,Has relevent experience,Full time course,Degree,STEM,4,4,109,1
15730,,Has relevent experience,no_enrollment,Degree,STEM,5,>4,48,0
27790,Male,No relevent experience,Full time course,High School,,14,2,7,0
22350,Male,Has relevent experience,no_enrollment,Degree,STEM,6,1,210,0
7149,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,61,0
16139,Male,Has relevent experience,no_enrollment,Degree,Arts,5,4,11,0
23158,Male,Has relevent experience,no_enrollment,Degree,Arts,14,2,94,0
17057,Male,Has relevent experience,Full time course,Degree,STEM,6,2,4,0
9349,Male,Has relevent experience,no_enrollment,Phd,STEM,14,3,8,0
10531,,Has relevent experience,Part time course,Degree,STEM,17,1,184,0
16615,,Has relevent experience,no_enrollment,Degree,,16,,43,0
24731,Male,Has relevent experience,no_enrollment,Degree,Arts,9,2,75,0
6634,Male,Has relevent experience,no_enrollment,Degree,STEM,3,1,78,0
27729,Male,Has relevent experience,no_enrollment,Degree,STEM,10,1,172,0
6247,Male,No relevent experience,no_enrollment,Degree,STEM,17,1,18,0
213,Female,Has relevent experience,no_enrollment,Masters,STEM,3,1,22,1
28094,Male,Has relevent experience,no_enrollment,Degree,STEM,10,1,50,1
10415,Female,Has relevent experience,no_enrollment,Masters,STEM,>20,1,56,0
24593,,Has relevent experience,Part time course,Degree,STEM,6,0,39,0
23615,Male,No relevent experience,Part time course,High School,,6,1,43,0
2363,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,1,302,1
31124,,Has relevent experience,no_enrollment,Degree,STEM,5,1,19,0
15632,,Has relevent experience,no_enrollment,Degree,STEM,5,1,58,0
30217,Male,Has relevent experience,no_enrollment,Masters,STEM,15,>4,6,0
2264,Male,Has relevent experience,no_enrollment,Degree,STEM,11,2,108,0
7982,,Has relevent experience,Part time course,Degree,STEM,4,1,44,0
28604,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,39,0
25009,Male,No relevent experience,no_enrollment,Degree,STEM,2,1,40,0
12798,Male,Has relevent experience,no_enrollment,High School,,14,4,94,0
25280,,No relevent experience,no_enrollment,Primary School,,3,0,141,0
21930,,No relevent experience,Full time course,High School,,8,1,79,0
26840,Male,No relevent experience,no_enrollment,Degree,Other,7,2,18,0
23750,,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,64,0
19041,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,1,22,0
25152,Male,Has relevent experience,Full time course,Degree,STEM,12,4,91,1
19435,,Has relevent experience,no_enrollment,Degree,STEM,2,,36,1
14082,Male,No relevent experience,no_enrollment,Primary School,,3,0,73,0
22111,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,>4,130,0
11714,,No relevent experience,Full time course,Degree,STEM,6,0,42,1
23361,Male,Has relevent experience,Part time course,Degree,STEM,18,>4,7,0
659,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,1,178,1
28918,Male,Has relevent experience,no_enrollment,Degree,STEM,19,2,88,0
12863,Male,No relevent experience,Full time course,Masters,STEM,>20,4,108,1
1012,Male,Has relevent experience,Part time course,Masters,STEM,16,3,58,0
7467,Male,No relevent experience,no_enrollment,High School,,3,0,48,0
905,Male,Has relevent experience,no_enrollment,Degree,STEM,6,2,9,0
12588,Male,No relevent experience,Full time course,Degree,STEM,3,0,72,1
8035,Male,Has relevent experience,,High School,,5,3,50,0
7652,Male,Has relevent experience,no_enrollment,Degree,STEM,10,0,28,1
1819,Male,Has relevent experience,no_enrollment,Masters,STEM,>20,>4,26,1
26666,Male,No relevent experience,Part time course,Degree,STEM,6,>4,24,0
18680,Male,Has relevent experience,no_enrollment,Masters,STEM,19,>4,66,0
23827,,Has relevent experience,no_enrollment,Degree,STEM,8,3,222,1
21251,Male,Has relevent experience,no_enrollment,Degree,STEM,>20,1,88,1
10846,Male,Has relevent experience,no_enrollment,Masters,STEM,14,1,76,0
4421,Male,Has relevent experience,no_enrollment,Masters,STEM,11,1,28,0
31495,Male,No relevent experience,no_enrollment,Degree,STEM,5,1,38,0
2134,Male,Has relevent experience,no_enrollment,Degree,STEM,6,>4,29,0
29459,,Has relevent experience,no_enrollment,Masters,Other,5,3,23,0
28263,Male,Has relevent experience,no_enrollment,Degree,STEM,3,1,147,1
512,Male,Has relevent experience,no_enrollment,Degree,STEM,10,1,3,0
24097,,Has relevent experience,no_enrollment,Masters,STEM,17,1,14,0
7454,Male,Has relevent experience,Full time course,Degree,STEM,15,>4,16,0
27080,,Has relevent experience,no_enrollment,Degree,STEM,16,>4,104,0
13390,,Has relevent experience,Full time course,Degree,STEM,3,,55,0
17428,,Has relevent experience,no_enrollment,Degree,STEM,10,1,44,0
11965,Male,Has relevent experience,no_enrollment,Masters,STEM,5,1,31,0
24949,Male,Has relevent experience,no_enrollment,Degree,STEM,9,1,1,0
27315,Male,Has relevent experience,no_enrollment,Degree,STEM,8,1,68,0
