Carat,Cut,Color,Clarity,Depth_ratio,Table_ratio,Price,x,y,z
0.61,Very Good,D,VVS2,59.6,57,2763,5.56,5.58,3.32
0.63,Premium,E,VVS2,62.1,57,2789,5.48,5.41,3.38
0.7,Very Good,G,VS1,63,60,2812,5.57,5.64,3.53
0.73,Good,E,SI1,63.6,57,2821,5.72,5.7,3.63
0.7,Ideal,D,VS2,61,57,2859,5.76,5.74,3.51
1.05,Premium,I,SI2,58.3,57,2911,6.72,6.67,3.9
0.24,Ideal,G,VVS1,62,56,559,3.97,4.01,2.47
0.8,Ideal,I,VS1,61.9,54.1,2986,5.92,5.98,3.69
0.9,Good,E,SI2,64.1,57,3084,6.09,6.07,3.9
0.32,Good,E,SI1,,56,561,4.36,4.39,2.76
1.22,Premium,J,SI2,,59,3156,6.79,4.24,3.76
0.9,Very Good,H,SI2,62.8,57,3160,6.15,6.2,3.88
0.84,Fair,F,VS2,65,57.2,3172,5.83,5.87,3.81
1,Very Good,I,VS2,63.2,58,3265,6.43,6.32,4.03
0.71,Ideal,G,VS2,,56,3299,5.68,5.72,3.52
0.7,Ideal,F,VVS1,,55,3348,5.69,5.66,3.53
0.77,Very Good,F,VS1,,58,3350,5.79,5.86,3.66
0.83,Premium,F,VS2,62,59,3393,6,5.96,3.71
0.9,Good,E,SI1,64.3,62,3400,6,6.07,3.88
0.75,Ideal,E,VS1,,55,3402,5.88,5.83,3.66
0.9,Premium,G,SI2,62.4,55,3478,6.17,6.13,3.84
0.31,Very Good,D,SI1,61.7,59,571,4.31,4.35,2.67
0.7,Good,F,VVS1,,61,3536,5.71,5.79,3.52
1.01,Premium,I,SI2,61.7,60,3749,6.34,6.4,3.93
1.18,Very Good,D,I1,61.5,62,3816,6.73,6.88,4.19
0.3,Ideal,G,SI1,,56,574,4.32,4.28,2.7
1.01,Fair,H,SI1,65.3,61,3869,6.23,6.18,4.05
0.9,Very Good,H,VS2,62.8,58,3878,6.13,6.17,3.86
1.05,Good,J,VS1,57.8,64,3881,6.74,6.67,3.88
0.84,Ideal,G,VS2,,55,3936,6.07,6.09,3.77
1.01,Ideal,I,VS1,,57,3991,6.42,6.38,4.02
1.01,Very Good,G,SI1,62.3,59,4064,6.34,6.37,3.96
1.01,Ideal,I,VS1,62.9,56,4118,6.43,6.38,4.03
0.82,Ideal,D,SI1,62.2,55,4135,5.97,5.99,3.72
1,Fair,E,SI1,66.3,62,4140,6.27,6.06,4.09
1.02,Good,H,SI1,57.1,61,4167,6.66,6.57,3.78
1.05,Very Good,G,SI2,61.6,60,4241,6.49,6.56,4.02
1.01,Premium,H,SI2,,59,4242,6.51,6.48,3.89
0.84,Premium,F,VVS2,60.4,62,4243,6.15,6.1,3.7
1.12,Ideal,J,SI2,62.5,57,4325,6.63,6.59,4.13
1.11,Ideal,I,SI2,61.9,57,4377,6.62,6.66,4.11
1.03,Ideal,J,SI1,61.7,56,4395,6.49,6.53,4.02
0.9,Very Good,D,SI1,,57,4419,6.19,6.34,3.73
1,Fair,E,SI2,65.2,59,4516,6.28,6.27,4.09
1,Very Good,D,SI2,63.2,57,4628,6.24,6.32,3.97
1.12,Ideal,G,SI2,,56,4712,6.63,6.67,4.15
1,Fair,F,VS2,64.7,59,4829,6.22,6.15,4
1.02,Ideal,F,SI2,61.3,56,4855,6.5,6.48,3.98
1.16,Premium,I,SI1,62.7,57,4872,6.76,6.67,4.21
1.13,Premium,H,SI2,60.7,54,4873,6.82,6.72,4.11
1.02,Ideal,H,SI2,62.5,53,4918,6.43,6.47,4.03
0.9,Premium,D,VS2,,59,5001,6.14,6.17,3.85
0.34,Ideal,G,VS2,,55,596,4.46,4.48,2.77
1.12,Good,H,SI1,,61,5094,6.72,6.85,4.06
0.9,Very Good,D,SI1,62.3,53,5123,6.2,6.22,3.87
1.09,Premium,D,SI2,61.2,60,5164,6.6,6.64,4.05
1.25,Premium,J,SI1,62,58,5166,6.9,6.88,4.27
1.01,Fair,F,VS2,64.5,58,5226,6.28,6.18,4.02
1.01,Premium,E,SI1,61.8,60,5279,6.36,6.4,3.94
1.09,Very Good,G,SI1,,60,5305,6.66,6.7,4.02
0.7,Ideal,E,VVS1,61.8,55,5338,5.69,5.73,3.53
1,Premium,E,SI1,60.7,59,5445,6.38,6.41,3.88
1.02,Very Good,H,SI1,61,59,5455,6.48,6.53,3.97
0.24,Very Good,E,VS1,,58,419,4.02,4.11,2.43
0.7,Ideal,D,VVS2,,55,5539,5.73,5.75,3.54
0.41,Ideal,F,SI2,62.6,57,603,4.68,4.77,2.96
1.04,Very Good,D,SI1,61.5,58,5605,6.48,6.53,4
1.06,Premium,E,SI1,58.5,60,5642,6.81,6.7,3.95
1.06,Ideal,F,SI1,,57,5655,6.51,6.53,4.05
1.01,Very Good,E,SI1,63.4,58,5684,6.32,6.37,4.02
1.03,Ideal,G,SI1,62.2,59,5684,6.41,6.45,4
1.02,Good,G,VS1,,59,5706,6.71,6.65,3.83
1.18,Ideal,H,SI1,61.4,55,6013,6.84,6.78,4.18
1.01,Good,G,VS1,62.7,57,6066,6.33,6.42,4
1.01,Premium,F,VS1,,58,6066,6.37,6.48,4.02
1.26,Premium,E,SI2,62.9,59,6085,6.85,6.82,4.3
1.01,Premium,F,VS2,63,58,6097,6.43,6.36,4.03
1,Premium,H,VVS1,62.3,60,6132,6.36,6.28,3.94
1,Premium,G,VVS2,,57,6209,6.38,6.29,3.98
1.22,Premium,E,SI2,61.5,58,6237,6.81,6.85,4.2
1.01,Good,G,VS1,58.7,62,6247,6.49,6.55,3.83
1.01,Very Good,G,VVS2,61.3,61,6354,6.32,6.47,3.92
1.2,Premium,F,SI1,,58,6435,6.76,6.69,4.23
1.03,Ideal,F,VS2,,56,6467,6.59,6.56,3.97
1.38,Very Good,J,VS2,,56,6494,7.06,7.11,4.44
1.08,Premium,G,VS2,62.3,58,6532,6.54,6.5,4.06
1.25,Premium,I,VS1,60.4,59,6545,6.94,7.01,4.21
1.33,Premium,G,SI2,60.3,58,6685,7.19,7.16,4.33
1.11,Premium,G,VS2,62.3,58,6713,6.65,6.61,4.13
1.04,Ideal,F,VS2,,57,6814,6.53,6.48,4.04
1.45,Very Good,J,VS2,62.6,58,6980,7.28,7.16,4.52
1.55,Very Good,H,SI1,63.2,57,7066,7.35,7.31,4.64
0.41,Ideal,J,VS2,61.7,55,613,4.8,4.82,2.97
1.51,Fair,H,VS2,65.6,56,7188,7.08,4.7,4
1.04,Very Good,G,VVS2,,54,7481,6.39,6.5,4.05
1.5,Good,H,SI2,,62,7714,7.44,7.49,4.36
1.2,Very Good,D,SI1,62.6,59,7909,6.71,6.75,4.21
1.3,Very Good,G,SI1,61,57,7985,7.01,7.06,4.29
1.19,Ideal,F,VS2,62,57,8265,6.76,6.78,4.2
0.37,Ideal,J,VS1,62.4,55,624,4.64,4.59,2.88
1.51,Premium,D,SI2,61.4,56,8311,7.37,7.32,4.51
1.66,Premium,J,SI1,60.7,58,8487,7.72,7.63,4.66
0.28,Ideal,D,VS2,62.4,57,625,4.2,4.16,2.61
0.31,Premium,F,VS2,,58,625,4.35,4.37,2.67
0.31,Ideal,F,VS2,,56,625,4.38,4.41,2.67
1.01,Premium,D,VS1,61.6,58,8823,6.44,6.42,3.96
1,Premium,F,VVS2,60.6,54,8924,6.56,6.52,3.96
1.64,Fair,E,SI2,63.1,60,8954,7.58,7.5,4.75
0.31,Very Good,G,VS1,60.8,61,625,4.33,4.35,2.64
1.5,Premium,E,SI2,60.8,59,9157,7.34,7.36,4.47
2,Good,J,SI1,,58,9193,7.85,7.79,5.01
1.5,Premium,H,VS2,62.1,59,9253,7.26,7.2,4.49
1.24,Ideal,G,VVS2,,56,9362,6.88,6.92,4.22
1.53,Premium,J,IF,61.1,58,9596,7.45,7.41,4.54
1.59,Ideal,G,VS2,,56,9794,7.51,7.44,4.62
1.1,Ideal,F,VVS2,61.2,56,9817,6.68,6.65,4.08
1.5,Good,G,VS1,63.6,57,10036,7.23,7.14,4.57
1.58,Premium,I,VS1,,59,10428,7.44,7.52,4.57
2.63,Very Good,J,I1,62.3,61,10437,8.76,8.81,5.47
1.7,Ideal,I,SI1,61.8,55,10520,7.62,7.57,4.69
1.32,Premium,F,VS2,,58,10814,7.03,6.95,4.35
2.06,Ideal,H,SI2,,57,11040,8.1,8.06,5.01
0.33,Ideal,D,SI2,62,57,631,4.46,4.45,2.76
0.33,Very Good,D,SI2,63.4,56,631,4.43,4.4,2.8
1.5,Ideal,H,SI1,,55,11189,7.34,7.29,4.54
2,Premium,H,SI2,62.1,60,11202,8.1,8.01,5.3
0.36,Premium,E,SI1,60.9,60,631,4.56,4.61,2.79
1.7,Very Good,I,VS1,60.6,59,11514,7.64,7.67,4.64
2.02,Premium,F,SI2,,59,11962,8.2,8.13,4.98
2.5,Premium,H,SI2,,59,12071,8.65,8.61,5.41
1.56,Premium,E,VS2,,58,12156,7.47,7.43,4.58
2.04,Fair,E,SI2,65.4,55,12799,7.87,7.93,5.17
1.56,Ideal,H,VS2,62.2,56,12864,7.45,7.47,4.64
2.1,Premium,J,SI1,62.9,58,13930,8.15,8.09,5.11
2.02,Ideal,I,SI2,,60,14027,8.08,8.14,4.94
1.51,Very Good,F,VS2,61.1,59,14165,7.32,7.37,4.49
2.1,Premium,I,VS2,60.7,61,14394,8.28,8.27,5.02
0.4,Very Good,E,SI2,62.1,60,644,4.65,4.69,2.9
2,Premium,G,SI1,,62,14918,6.16,6.15,4.82
1.51,Ideal,G,VVS2,,57,14982,7.31,7.36,4.53
0.23,Good,D,VVS1,,66,425,3.91,3.95,2.37
0.37,Very Good,G,VS1,58.4,59,657,4.76,4.69,2.76
0.3,Premium,E,VS2,60.4,58,658,4.3,4.34,2.61
0.29,Very Good,F,VVS2,62.7,58,664,4.22,4.26,2.66
0.32,Ideal,G,VS2,,56,672,4.4,4.36,2.72
0.31,Very Good,F,VS1,59.7,55,679,4.42,4.46,2.65
0.37,Premium,D,SI1,62.7,58,681,4.55,4.58,2.86
0.3,Very Good,F,VVS1,,56,694,4.34,4.36,2.68
0.31,Premium,G,VS2,60.7,61,698,4.37,4.33,2.64
0.31,Premium,E,SI1,62.6,60,698,4.35,4.31,2.71
0.4,Ideal,H,VS2,,56,704,4.69,4.73,2.94
0.41,Very Good,D,SI1,63,57,717,4.64,4.7,2.94
0.31,Ideal,G,VVS2,62,56,726,4.33,4.35,2.69
0.4,Premium,F,SI1,62.5,59,737,4.67,4.71,2.93
0.3,Very Good,F,VVS2,,58,737,4.25,4.28,2.66
0.42,Very Good,E,SI1,60,61,743,4.85,4.88,2.92
0.37,Ideal,F,VS2,61.1,57,746,4.63,4.67,2.84
0.39,Ideal,G,SI1,,54,748,4.73,4.77,2.91
0.37,Premium,H,VS2,59.5,61,749,4.67,4.64,2.77
0.35,Ideal,E,VS2,62.2,56,767,4.51,4.53,2.81
0.2,Premium,E,VS2,61.1,59,367,3.81,3.78,2.32
0.36,Premium,F,SI1,,59,770,4.54,4.51,2.8
0.3,Ideal,H,VVS2,,56,776,4.35,4.33,2.66
0.35,Ideal,D,SI1,,56,780,4.55,4.59,2.79
0.33,Ideal,D,VS2,61.8,56,781,4.45,4.48,2.76
0.35,Premium,E,SI1,61.9,58,788,4.52,4.49,2.79
0.43,Premium,E,SI1,,60,792,4.89,4.94,2.96
0.32,Premium,F,VVS2,61.8,59,793,4.42,4.38,2.72
0.38,Ideal,F,VS2,62.1,57,800,4.61,4.67,2.88
0.31,Ideal,H,VVS2,,56,802,4.37,4.35,2.68
0.34,Very Good,I,VS2,61.6,56,457,4.47,4.51,2.76
0.44,Very Good,I,VS1,61.9,57,813,4.86,4.89,3.01
0.35,Ideal,D,VS2,61.9,55,829,4.5,4.54,2.8
0.32,Very Good,F,VVS1,,60,834,4.32,4.34,2.72
0.31,Ideal,F,VVS1,62,54,840,4.37,4.41,2.72
0.3,Ideal,G,IF,61,56,844,4.34,4.37,2.65
0.3,Premium,F,VS1,61.5,59,844,4.33,4.31,2.66
0.3,Premium,E,VS2,61.9,59,844,4.33,4.29,2.67
0.4,Very Good,E,VVS2,,55,849,4.72,4.74,2.98
0.3,Very Good,E,VVS1,,57,862,4.27,4.3,2.66
0.33,Ideal,I,IF,61.2,56,862,4.46,4.49,2.74
0.34,Ideal,J,VS1,61.9,53.9,469,4.5,4.53,2.79
0.4,Ideal,G,VS1,,57,877,4.72,4.74,2.95
0.36,Ideal,H,IF,62.2,54.1,877,4.57,4.6,2.86
0.3,Premium,G,VVS2,,56,878,4.31,4.24,2.68
0.27,Ideal,D,IF,62.4,56,893,4.15,4.12,2.58
0.3,Premium,J,VS2,62.2,58,473,4.3,4.28,2.67
0.32,Ideal,G,IF,61.9,55,918,4.38,4.44,2.73
0.42,Very Good,G,VS1,,59,921,4.86,4.9,2.9
0.4,Ideal,D,SI1,,57,924,4.7,4.66,2.95
0.4,Premium,E,SI1,62,55,945,4.74,4.68,2.92
0.32,Very Good,E,VVS1,60.8,58,954,4.38,4.41,2.67
0.38,Ideal,D,VS1,61,57,955,4.66,4.69,2.85
0.3,Ideal,G,IF,,57,956,4.32,4.29,2.62
0.46,Fair,I,VS1,65.6,57,972,4.85,4.82,3.17
0.52,Fair,F,SI2,,59,975,5.41,5.35,3.03
0.46,Ideal,I,VS1,62,54,997,4.97,4.99,3.09
0.41,Ideal,E,VS2,61.8,57,999,4.78,4.76,2.95
0.33,Ideal,D,VS2,,53,1002,4.49,4.46,2.77
0.4,Ideal,H,VS1,,56,1035,4.78,4.74,2.94
0.3,Ideal,J,IF,61.5,57,489,4.29,4.36,2.66
0.44,Ideal,F,SI1,61,57,1040,4.91,4.89,2.99
0.31,Ideal,G,VVS1,60.6,57,1046,4.4,4.38,2.66
0.43,Ideal,E,VS2,,56,1048,4.87,4.83,3.01
0.4,Premium,G,VVS2,58.9,58,1050,4.84,4.8,2.84
0.41,Premium,I,VVS2,59.9,58,1061,4.87,4.81,2.9
0.35,Premium,E,VS1,,60,1063,4.52,4.5,2.81
0.41,Premium,F,VS2,62.6,58,1107,4.81,4.75,2.99
0.41,Premium,E,VS1,,58,1153,4.83,4.8,2.89
0.38,Ideal,F,VVS1,62.2,57,1200,4.64,4.68,2.9
0.38,Premium,G,IF,,60,1227,4.64,4.61,2.89
0.43,Premium,G,VVS1,62,59,1264,4.82,4.8,2.98
0.4,Good,F,VVS1,,64,1287,4.8,4.83,2.85
0.5,Good,E,SI1,58.5,59,1331,5.2,5.23,3.05
0.5,Good,F,VS2,65.3,57,1339,4.93,4.97,3.23
0.41,Ideal,F,VVS1,,56,1356,4.83,4.79,2.93
0.59,Very Good,F,SI1,61.7,57,1412,5.39,5.43,3.34
0.5,Very Good,H,VS1,62.5,59,1429,5.01,5.04,3.14
0.51,Good,E,SI1,,56,1443,5.11,5.07,3.25
0.51,Premium,D,SI1,60.1,60,1569,5.14,5.18,3.1
0.5,Ideal,D,SI1,62.1,57,1610,5.08,5.03,3.14
0.52,Ideal,F,SI1,,54,1624,5.19,5.16,3.21
0.52,Ideal,F,VS2,60.6,55,1662,5.19,5.27,3.17
0.53,Ideal,H,VS1,61.6,55,1678,5.2,5.22,3.21
0.56,Ideal,I,VVS1,,57,1698,5.33,5.29,3.29
0.51,Premium,F,VS1,61.4,58,1744,5.15,5.18,3.17
0.62,Premium,F,SI1,63,59,1777,5.43,5.39,3.41
0.59,Ideal,E,SI1,62.4,55,1789,5.39,5.34,3.35
0.53,Ideal,F,VS1,61.4,57,1800,5.18,5.2,3.19
0.7,Premium,H,SI2,,61,1808,5.75,5.72,3.47
0.7,Premium,J,SI1,,59,1827,5.75,5.73,3.52
0.53,Ideal,F,VS1,,56,1830,5.22,5.24,3.2
0.72,Ideal,J,VS1,62.3,55,1832,5.77,5.69,3.57
0.3,Good,F,SI2,63.4,56,394,4.26,4.29,2.71
0.69,Premium,H,VS2,60.8,59,1863,5.77,5.74,3.5
0.52,Premium,F,VS1,61.7,56,1872,5.17,5.14,3.18
0.58,Ideal,G,VS1,62.2,55,1899,5.32,5.35,3.32
0.7,Very Good,J,VS2,,59,1907,5.61,5.65,3.49
0.53,Ideal,D,VS2,61.4,56,1956,5.23,5.2,3.2
0.52,Ideal,F,VVS2,,54,1978,5.17,5.2,3.22
0.58,Ideal,F,VS1,61.2,57,1979,5.36,5.39,3.29
0.7,Good,F,SI2,58.1,61,2020,5.76,5.8,3.36
0.7,Good,H,SI1,,60,2048,5.52,5.6,3.57
0.72,Good,H,SI2,,58,2056,5.98,5.91,3.44
0.64,Good,F,VS2,59.3,60.7,2063,5.59,5.66,3.34
0.5,Very Good,E,VVS2,61.5,59,2105,5.08,5.1,3.13
0.55,Very Good,F,VVS2,,59,2147,5.2,5.22,3.25
0.71,Ideal,H,SI2,59.4,57,2258,5.87,5.81,3.47
0.7,Premium,F,SI1,60.5,58,2264,5.77,5.84,3.51
0.72,Ideal,G,SI2,,56,2297,5.76,5.83,3.56
0.7,Very Good,E,SI2,63.2,56,2298,5.6,5.64,3.55
0.7,Very Good,H,VS2,,56,2312,5.6,5.63,3.57
0.7,Premium,D,SI2,62.1,60,2319,5.73,5.71,3.55
0.71,Good,E,SI2,62.2,56,2390,5.63,5.66,3.51
0.7,Very Good,E,SI1,,56,2421,5.62,5.69,3.57
0.71,Very Good,H,VS2,59.2,63,2450,5.85,5.81,3.45
1.02,Premium,F,I1,,59,2452,6.51,6.45,3.87
0.71,,F,SI1,62.3,60,2458,5.68,5.65,3.53
0.76,Ideal,G,SI2,62.7,56,2466,5.81,5.86,3.66
0.7,Ideal,G,SI1,,56,2478,5.66,5.69,3.54
0.72,,D,SI2,60.2,56,2492,5.85,5.82,3.51
0.24,Very Good,E,VVS2,60.8,58,552,3.99,4.03,2.44
0.88,Fair,I,VS2,57.4,67,2550,6.49,6.36,3.69
0.7,Ideal,F,VS2,,56,2573,5.7,5.67,3.57
0.9,Ideal,F,I1,,57,2611,6.13,6.2,3.81
0.3,Ideal,I,VVS1,61.1,57,552,4.32,4.36,2.65
0.71,,E,VS2,59,59,2711,5.78,5.88,3.44
0.78,Very Good,G,SI1,63,58,2721,5.82,5.86,3.68
0.7,Very Good,E,VS2,62.4,60,2755,5.57,5.61,3.49
